cellid,subtypes
184a1,Basal
184b5,Basal
bt20,Basal
bt549,Basal
cal120,Basal
cal148,Basal
cal51,Basal
cal851,Basal
du4475,Basal
evsat,Basal
hbl100,Basal
hcc1143,Basal
hcc1187,Basal
hcc1395,Basal
hcc1599,Basal
hcc1806,Basal
hcc1937,
hcc2688,Basal
hcc3153,Basal
hcc38,Basal
hcc70,Basal
hcc812,
hdqp1,Basal
hs578t,Basal
macls2,Basal
mb157,Basal
mcf10a,Basal
mdamb157,Basal
mdamb231,Basal
mdamb436,Basal
mdamb453,Basal
mdamb468,Basal
mfm223,Basal
mx1,Basal
skbr5,Basal
skbr7,Basal
sum102,Basal
sum1315,Basal
sum149,Basal
sum159,Basal
sum185,Basal
sum229,Basal
sum52,Basal
sw527,Basal
uacc3199,Basal
au565,Her2
bt474,Her2
efm192a,Her2
hcc1419,Her2
hcc1569,Her2
hcc1954,Her2
hcc202,Her2
hcc2218,Her2
ocubm,Her2
skbr3,Her2
sum190,Her2
sum225,Her2
uacc812,Her2
uacc893,Her2
zr7530,Her2
mcf12a,LumA
600mpe,LumB
bt483,LumB
cama1,LumB
efm19,LumB
hcc1008,LumB
hcc1428,LumB
hcc1500,LumB
hcc2185,LumB
hcc712,LumB
jimt1,LumB
kpl1,LumB
ly2,LumB
mcf7,LumB
mdamb134vi,LumB
mdamb175vii,LumB
mdamb330,LumB
mdamb361,LumB
mdamb415,LumB
sum44,LumB
t47d,LumB
zr751,LumB
zr75b,LumB