,cellid,GEO,batchid
184A1,184A1,GSM1897275,NA
184B5,184B5,GSM1897276,NA
600MPE,600MPE,GSM1897277,NA
AU565,AU565,GSM1897278,NA
BT-20,BT-20,GSM1897279,NA
BT-474,BT-474,GSM1897280,NA
BT-483,BT-483,GSM1897281,NA
BT-549,BT-549,GSM1897282,NA
CAL-120,CAL-120,GSM1897283,NA
CAL-148,CAL-148,GSM1897284,NA
CAL-51,CAL-51,GSM1897285,NA
CAL-85-1,CAL-85-1,GSM1897286,NA
CAMA-1,CAMA-1,GSM1897287,NA
DU-4475,DU-4475,GSM1897288,NA
EFM-19,EFM-19,GSM1897289,NA
EFM-192A,EFM-192A,GSM1897290,NA
EVSA-T,EVSA-T,GSM1897291,NA
HBL-100,HBL-100,GSM1897292,NA
HCC1008,HCC1008,GSM1897293,NA
HCC1143,HCC1143,GSM1897294,NA
HCC1187,HCC1187,GSM1897295,NA
HCC1395,HCC1395,GSM1897296,NA
HCC1419,HCC1419,GSM1897297,NA
HCC1428,HCC1428,GSM1897298,NA
HCC1500,HCC1500,GSM1897299,NA
HCC1569,HCC1569,GSM1897300,NA
HCC1599,HCC1599,GSM1897301,NA
HCC1806,HCC1806,GSM1897302,NA
HCC1937,HCC1937,GSM1897303,NA
HCC1954,HCC1954,GSM1897304,NA
HCC202,HCC202,GSM1897305,NA
HCC2185,HCC2185,GSM1897306,NA
HCC2218,HCC2218,GSM1897307,NA
HCC2688,HCC2688,GSM1897308,NA
HCC3153,HCC3153,GSM1897309,NA
HCC38,HCC38,GSM1897310,NA
HCC70,HCC70,GSM1897311,NA
HCC712,HCC712,GSM1897312,NA
HDQ-P1,HDQ-P1,GSM1897313,NA
Hs-578-T,Hs-578-T,GSM1897314,NA
JIMT-1,JIMT-1,GSM1897315,NA
KPL-1,KPL-1,GSM1897316,NA
LY2,LY2,GSM1897317,NA
MA-CLS-2,MA-CLS-2,GSM1897318,NA
MB157,MB157,GSM1897319,NA
MCF10A,MCF10A,GSM1897320,NA
MCF12A,MCF12A,GSM1897321,NA
MCF7,MCF7,GSM1897322,NA
MDA-MB-134-VI,MDA-MB-134-VI,GSM1897323,NA
MDAMB157,MDAMB157,GSM1897324,NA
MDA-MB-175-VII,MDA-MB-175-VII,GSM1897325,NA
MDA-MB-231,MDA-MB-231,GSM1897326,NA
MDA-MB-330,MDA-MB-330,GSM1897327,NA
MDA-MB-361,MDA-MB-361,GSM1897328,NA
MDA-MB-415,MDA-MB-415,GSM1897329,NA
MDA-MB-436,MDA-MB-436,GSM1897330,NA
MDA-MB-453,MDA-MB-453,GSM1897331,NA
MDA-MB-468,MDA-MB-468,GSM1897332,NA
MFM-223,MFM-223,GSM1897333,NA
MX-1,MX-1,GSM1897334,NA
OCUB-M,OCUB-M,GSM1897335,NA
SK-BR-3,SK-BR-3,GSM1897336,NA
SK-BR-5,SK-BR-5,GSM1897337,NA
SK-BR-7,SK-BR-7,GSM1897338,NA
SUM102PT,SUM102PT,GSM1897339,NA
SUM 1315M02,SUM 1315M02,GSM1897340,NA
SUM 149PT,SUM 149PT,GSM1897341,NA
SUM 159PT,SUM 159PT,GSM1897342,NA
SUM185PE,SUM185PE,GSM1897343,NA
SUM 190,SUM 190,GSM1897344,NA
SUM225CWN,SUM225CWN,GSM1897345,NA
SUM 229PE,SUM 229PE,GSM1897346,NA
SUM44PE,SUM44PE,GSM1897347,NA
SUM 52PE,SUM 52PE,GSM1897348,NA
SW 527,SW 527,GSM1897349,NA
T47D,T47D,GSM1897350,NA
UACC-3199,UACC-3199,GSM1897351,NA
UACC-812,UACC-812,GSM1897352,NA
UACC-893,UACC-893,GSM1897353,NA
ZR-75-1,ZR-75-1,GSM1897354,NA
ZR-75-30,ZR-75-30,GSM1897355,NA
ZR75B,ZR75B,GSM1897356,NA